trade_id,side,entry_time,entry_price,exit_time,exit_price,quantity,gross_pnl,commission,pnl,exit_reason,mae,mfe,duration_min
57,long,2024-06-05 09:45:00,1307.7321126279758,2024-06-05 10:45:00,1304.8,10,-2932112.6279758117,391879.8168941963,-3323992.444870008,Stop loss,1.8321126279756754,0.0,60.0
58,short,2024-06-07 10:15:00,1301.9802119415945,2024-06-07 13:30:00,1305.0,10,-3019788.058405538,391047.0317912391,-3410835.090196777,Stop loss,0.0,0.0,195.0
59,long,2024-06-12 11:15:00,1306.733038493775,2024-06-12 14:00:00,1316.1077968921106,10,9374758.398335643,393426.1253078828,8981332.27302776,Take profit,0.0,7.06696150622497,165.0
60,short,2024-06-13 10:00:00,1326.565456581485,2024-06-13 11:00:00,1329.4,10,-2834543.418515068,398394.8184872227,-3232938.237002291,Stop loss,0.0,0.0,60.0
61,long,2024-06-13 14:00:00,1332.3922603681833,2024-06-13 14:15:00,1336.9,10,4507739.631816776,400393.83905522746,4107345.792761548,Last Candle Close,0.0,1.5077396318167757,15.0
62,short,2024-06-17 10:00:00,1310.588555855673,2024-06-17 10:15:00,1313.6,10,-3011444.144327015,393628.2833783509,-3405072.427705366,Stop loss,0.0,0.0,15.0
63,long,2024-06-18 10:45:00,1315.970491622648,2024-06-18 14:15:00,1314.4976997128067,10,-1472791.9098413622,394570.22870031814,-1867362.1385416803,Stop loss,0.4704916226480691,5.329508377351885,210.0
64,short,2024-06-21 09:45:00,1316.0162963841583,2024-06-21 10:00:00,1319.1,10,-3083703.615841614,395267.4444576237,-3478971.0602992377,Stop loss,0.0,0.0,15.0
65,long,2024-06-25 13:30:00,1292.3683551117701,2024-06-25 13:45:00,1289.1,10,-3268355.1117702336,387220.2532667655,-3655575.365036999,Stop loss,1.3683551117701427,0.0,15.0
66,short,2024-06-28 10:00:00,1287.5629862874298,2024-06-28 14:15:00,1276.7117768263743,10,10851209.461055532,384641.21446707053,10466568.246588461,Take profit,0.0,0.0,255.0
67,short,2024-07-01 10:15:00,1273.0829378789897,2024-07-01 10:30:00,1276.0,10,-2917062.1210103035,382362.44068184844,-3299424.561692152,Stop loss,0.0,0.0,15.0
68,long,2024-07-01 14:00:00,1279.0975012130284,2024-07-01 14:15:00,1284.0,10,4902498.786971591,384464.62518195424,4518034.161789637,Last Candle Close,1.397501213028363,0.0,15.0
69,long,2024-07-02 10:30:00,1290.3640569385343,2024-07-02 14:15:00,1296.3,10,5935943.06146565,387999.6085407801,5547943.45292487,Last Candle Close,0.0,7.93594306146565,225.0
70,long,2024-07-04 10:00:00,1311.2487768291692,2024-07-04 10:30:00,1308.8,10,-2448776.8291692194,393007.31652437535,-2841784.1456935946,Stop loss,2.048776829169128,0.0,30.0
71,short,2024-07-04 14:15:00,1306.4919715859278,2024-07-04 14:15:00,1308.3,10,-1808028.4140721688,392218.79573788913,-2200247.2098100577,Last Candle Close,0.0,0.0,0.0
72,long,2024-07-05 10:30:00,1313.115690891702,2024-07-05 10:45:00,1310.8,10,-2315690.8917019335,393587.35363375524,-2709278.245335689,Stop loss,1.5156908917019791,0.0,15.0
73,long,2024-07-08 14:00:00,1311.092956138833,2024-07-08 14:00:00,1308.8,10,-2292956.138833006,392983.94342082494,-2685940.082253831,Stop loss,0.0,0.0,0.0
74,short,2024-07-09 11:00:00,1312.102136915059,2024-07-09 13:00:00,1314.5,10,-2397863.0849410365,393990.32053725875,-2791853.4054782954,Stop loss,0.0,0.0,120.0
75,short,2024-07-10 14:15:00,1314.1,2024-07-10 14:15:00,1310.8,10,3299999.9999999544,393734.99999999994,2906264.9999999544,Last Candle Close,0.0,0.0,0.0
76,long,2024-07-12 10:00:00,1308.1597331984617,2024-07-12 11:00:00,1305.6,10,-2559733.1984617994,392063.9599797692,-2951797.1584415687,Stop loss,1.7597331984616176,0.24026680153838242,60.0
77,short,2024-07-15 13:45:00,1299.4,2024-07-15 14:15:00,1297.2,10,2200000.0000000456,389489.99999999994,1810510.0000000456,Last Candle Close,0.0,0.0,30.0
78,short,2024-07-16 14:00:00,1303.3445830056187,2024-07-16 14:15:00,1302.3,10,1044583.0056187334,390846.6874508428,653736.3181678905,Last Candle Close,0.0,0.0,15.0
79,short,2024-07-17 11:00:00,1305.408603180924,2024-07-17 13:30:00,1307.9,10,-2491396.8190760445,391996.29047713854,-2883393.109553183,Stop loss,0.0,0.0,150.0
80,long,2024-07-22 10:30:00,1298.7783979739493,2024-07-22 10:45:00,1295.3,10,-3478397.973949313,389111.75969609234,-3867509.7336454056,Stop loss,0.5783979739492224,0.0,15.0
81,short,2024-07-24 10:45:00,1278.398213383773,2024-07-24 10:45:00,1281.7,10,-3301786.616226991,384014.7320075659,-3685801.348234557,Stop loss,0.0,0.0,0.0
