datetime,position,cash,equity,unrealized_pnl,realized_pnl,close_price
2024-11-22 10:00:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1294.9
2024-11-22 10:15:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1292.3
2024-11-22 10:30:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1292.9
2024-11-22 10:45:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1295.7
2024-11-22 11:00:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1296.9
2024-11-22 11:15:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1297.7
2024-11-22 13:00:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1296.8
2024-11-22 13:15:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1299.7
2024-11-22 13:30:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1299.8
2024-11-22 13:45:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1294.7
2024-11-22 14:00:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1295.7
2024-11-22 14:15:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1294.8
2024-11-22 14:30:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1297.0
2024-11-25 09:00:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1297.8
2024-11-25 09:15:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1297.2
2024-11-25 09:30:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1295.9
2024-11-25 09:45:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1294.9
2024-11-25 10:00:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1296.6
2024-11-25 10:15:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1297.7
2024-11-25 10:30:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1298.1
2024-11-25 10:45:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1296.8
2024-11-25 11:00:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1298.9
2024-11-25 11:15:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1297.1
2024-11-25 13:00:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1297.8
2024-11-25 13:15:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1296.0
2024-11-25 13:30:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1297.4
2024-11-25 13:45:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1299.6
2024-11-25 14:00:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1296.7
2024-11-25 14:15:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1296.9
2024-11-25 14:30:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1296.0
2024-11-26 09:00:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1301.3
2024-11-26 09:15:00,FLAT,435207124.39680225,435207124.39680225,0.0,0.0,1305.2
2024-11-26 09:30:00,LONG,435011455.2125097,435650226.5955585,638771.3830488337,0.0,1305.1
2024-11-26 09:45:00,LONG,435011455.2125097,435050226.59555864,38771.38304892469,0.0,1304.5
2024-11-26 10:00:00,LONG,435011455.2125097,438750226.59555864,3738771.3830489703,0.0,1308.2
2024-11-26 10:15:00,LONG,435011455.2125097,439650226.5955585,4638771.383048833,0.0,1309.1
2024-11-26 10:30:00,LONG,435011455.2125097,441350226.5955586,6338771.383048879,0.0,1310.8
2024-11-26 10:45:00,LONG,435011455.2125097,440250226.59555864,5238771.38304897,0.0,1309.7
2024-11-26 11:00:00,LONG,435011455.2125097,439550226.59555864,4538771.383048925,0.0,1309.0
2024-11-26 11:15:00,LONG,435011455.2125097,440850226.5955586,5838771.383048879,0.0,1310.3
2024-11-26 13:00:00,LONG,435011455.2125097,439950226.5955587,4938771.383049016,0.0,1309.4
2024-11-26 13:15:00,LONG,435011455.2125097,440650226.5955585,5638771.383048833,0.0,1310.1
