trade_id,side,entry_time,entry_price,exit_time,exit_price,quantity,pnl,pnl_pct,commission,exit_reason
27,LONG,2025-07-18 14:15:00,1632.6,2025-07-21 11:15:00,1629.009090909091,10,-4080150.454545372,-0.24991733765437782,489241.36363636353,Stop loss
28,LONG,2025-07-21 14:15:00,1640.7,2025-07-21 14:15:00,1637.15,10,-4041677.4999999544,-0.2463386054732708,491677.49999999994,Stop loss
29,LONG,2025-07-22 14:00:00,1631.1,2025-07-23 09:00:00,1661.0,10,29406185.00000009,1.8028437864018203,493814.99999999994,Take profit (gap at open)
30,LONG,2025-07-24 14:00:00,1651.4,2025-07-24 14:00:00,1647.6590909090908,10,-4235767.95454569,-0.25649557675582474,494858.86363636353,Stop loss
31,LONG,2025-07-28 11:15:00,1682.1,2025-07-29 09:15:00,1678.7363636363636,10,-3867761.818181715,-0.22993649712750222,504125.4545454545,Stop loss
32,LONG,2025-07-30 14:15:00,1628.8,2025-07-30 14:15:00,1622.9590909090907,10,-6328672.9545455985,-0.38854819219950876,487763.86363636353,Stop loss
33,LONG,2025-08-01 14:30:00,1609.2,2025-08-04 09:00:00,1605.2363636363636,10,-4445801.818181851,-0.27627403791833527,482165.4545454545,Stop loss
34,LONG,2025-08-04 10:45:00,1629.1,2025-08-04 10:45:00,1624.459090909091,10,-5128942.954545326,-0.3148329110886579,488033.8636363636,Stop loss
35,LONG,2025-08-04 14:00:00,1637.7,2025-08-05 09:00:00,1666.4727272727275,10,28277101.36363657,1.7266349980849096,495625.90909090906,Take profit
36,LONG,2025-08-05 10:15:00,1677.6,2025-08-05 13:45:00,1721.0727272727274,10,42962926.36363662,2.5609755820002755,509800.90909090906,Take profit
37,LONG,2025-08-06 11:30:00,1721.6,2025-08-06 13:15:00,1711.9636363636362,10,-10151398.181818284,-0.5896490579587758,515034.54545454535,Stop loss
38,LONG,2025-08-07 14:30:00,1736.8,2025-08-08 09:00:00,1727.7,10,-9619674.999999909,-0.5538735029940067,519674.99999999994,Stop loss (gap at open)
39,LONG,2025-08-08 14:15:00,1726.7,2025-08-08 14:15:00,1721.931818181818,10,-5285476.590909301,-0.3061027735512423,517294.77272727265,Stop loss
40,LONG,2025-08-11 10:30:00,1741.2,2025-08-11 13:15:00,1736.3227272727274,10,-5398901.13636352,-0.31006783461770737,521628.40909090906,Stop loss
41,LONG,2025-08-12 10:45:00,1749.9,2025-08-12 11:00:00,1746.209090909091,10,-4215325.454545508,-0.24088950537433618,524416.3636363635,Stop loss
42,LONG,2025-08-12 14:00:00,1744.1,2025-08-12 14:15:00,1740.8409090909092,10,-3781832.04545431,-0.21683573450228255,522741.13636363635,Stop loss
43,LONG,2025-08-14 10:15:00,1779.8,2025-08-14 13:30:00,1774.05,10,-6283077.5,-0.35302154736487246,533077.5,Stop loss
44,LONG,2025-08-14 14:30:00,1786.5,2025-08-15 11:15:00,1781.6045454545454,10,-5430670.2272728225,-0.3039837798641378,535215.6818181818,Stop loss
45,LONG,2025-08-18 14:30:00,1783.7,2025-08-19 14:00:00,1813.4545454545457,10,29214972.272727493,1.6378859826611813,539573.1818181819,Take profit
46,LONG,2025-08-20 14:30:00,1826.5,2025-08-22 10:15:00,1818.081818181818,8,-7171895.272727332,-0.4908222880322565,437349.8181818181,Stop loss
47,LONG,2025-08-22 14:15:00,1836.5,2025-08-22 14:15:00,1824.918181818182,6,-7278618.545454501,-0.6605516422047828,329527.63636363635,Stop loss
48,LONG,2025-08-26 10:00:00,1793.7,2025-08-26 14:15:00,1849.127272727273,10,54880848.63636392,3.059644792125992,546424.0909090909,Take profit
49,LONG,2025-08-29 10:45:00,1872.6,2025-08-29 13:30:00,1868.9681818181818,10,-4193053.409090789,-0.22391612779508646,561235.2272727273,Stop loss
50,LONG,2025-09-04 14:30:00,1883.8,2025-09-05 13:45:00,1878.3227272727274,10,-6041591.13636343,-0.32071298101515183,564318.4090909092,Stop loss
51,LONG,2025-09-10 14:30:00,1822.5,2025-09-10 14:30:00,1817.290909090909,10,-5755059.545454583,-0.31577830153385916,545968.6363636364,Stop loss
52,LONG,2025-09-11 14:00:00,1847.5,2025-09-12 10:00:00,1840.909090909091,10,-7144170.454545371,-0.3866939352933895,553261.3636363636,Stop loss
53,LONG,2025-09-12 14:15:00,1870.5,2025-09-12 14:15:00,1864.3772727272726,10,-6682958.86363648,-0.357281949405853,560231.5909090908,Stop loss
54,LONG,2025-09-15 14:00:00,1868.2,2025-09-15 14:00:00,1864.4863636363636,10,-4273539.318181852,-0.2287517031464432,559902.9545454546,Stop loss
55,LONG,2025-09-24 10:15:00,1816.3,2025-09-24 10:30:00,1811.4454545454546,10,-5398707.2727271775,-0.2972365398187071,544161.8181818181,Stop loss
56,LONG,2025-09-24 14:15:00,1829.0,2025-10-01 14:00:00,1871.0454545454545,10,41490447.72727268,2.268477185744816,555006.8181818181,Take profit
57,LONG,2025-10-06 14:15:00,1904.3,2025-10-08 09:00:00,1942.6818181818182,10,37804770.90909102,1.9852318914609577,577047.2727272727,Take profit
58,LONG,2025-10-09 10:00:00,1933.3,2025-10-09 10:45:00,1928.6272727272726,10,-5252016.363636434,-0.27166070261399855,579289.0909090908,Stop loss
59,LONG,2025-10-10 10:15:00,1946.3,2025-10-10 10:30:00,1941.931818181818,10,-4951416.590909211,-0.25440151009141504,583234.7727272727,Stop loss
60,LONG,2025-10-10 14:30:00,1972.2,2025-10-10 14:30:00,1967.3727272727274,10,-5418208.636363566,-0.27472916724285396,590935.9090909091,Stop loss
61,LONG,2025-10-13 14:15:00,1991.7,2025-10-14 09:00:00,2020.2272727272727,10,27925483.636363614,1.4020928672171318,601789.0909090908,Take profit
